	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
H4C5	448.528514916885	1.59506308208754	0.261426702065085	6.10137782211103	1.05158006127338e-09	4.08850837100895e-08
NOTCH1	698.535007482638	1.31694675813219	0.215940910625963	6.09864408886054	1.06971947449916e-09	4.14184771737898e-08
RNA5SP149	2924.35465800953	1.82749438240827	0.300101394426331	6.08958977315544	1.13200374145694e-09	4.36496915944509e-08
SCARNA18	121.454601331367	3.05715013092633	0.507456227007222	6.02446076769261	1.69674354108904e-09	6.48917835918544e-08
RPLP1	1515.08412569818	0.980298382377193	0.163794894198198	5.98491416460757	2.16504005994851e-09	8.21312767680871e-08
TPI1	1320.70986105305	1.02557262894508	0.171587570922514	5.97696338628285	2.27335266937009e-09	8.58923972257974e-08
CANX	1041.09045095772	1.11620961297262	0.186840278802938	5.97413801844028	2.3130991578059e-09	8.70431289503668e-08
SNORD124	128.758910575071	2.86734521012055	0.480725839287484	5.96461636921875	2.45209462757909e-09	9.16507085735019e-08
BCAP31	1005.9225609722	1.12369642501908	0.188400073633507	5.96441606071238	2.45510435986649e-09	9.16507085735019e-08
LDLR	929.331559779864	1.15247541193611	0.193413735447718	5.95860169531565	2.54405314297768e-09	9.45943569432572e-08
EXT2	627.998495132416	1.34265100455248	0.225596170003823	5.951568258139	2.65585212944507e-09	9.83610057426888e-08
ATP2A2	2449.21963397535	0.854681817670078	0.143863892106762	5.94090570715141	2.83451628210647e-09	1.04564636076132e-07
SPTAN1	2614.16918286838	0.837839933515945	0.141530732890946	5.91984451999925	3.22246117367465e-09	1.17947114052076e-07
APMAP	961.46418821632	1.12655151023007	0.190691218708759	5.90772620710261	3.46861864498762e-09	1.26462866550716e-07
UBB	1110.09942284183	1.11414715276129	0.1892607982002	5.88683532647234	3.93660593629656e-09	1.42968983035267e-07
HSPB1	643.222951137759	1.31868178772207	0.224107683389479	5.88414358569904	4.00120369290706e-09	1.44753971438375e-07
SLC5A6	954.967986188886	1.13426863008485	0.193211572715035	5.87060399201744	4.3421031605576e-09	1.56482717747787e-07
SCARNA4	408.538231157728	1.64922026888327	0.28136612364874	5.86147417996266	4.58775821821732e-09	1.64702277795771e-07
TNPO2	1312.43740112182	1.01222335340858	0.173097770395213	5.84769723548431	4.98424679610058e-09	1.78253406410162e-07
PCNX3	1191.76037480864	1.05025526646575	0.179946714189692	5.83647926662674	5.33153933663653e-09	1.89948758875606e-07
